,Wyscout id,Player,Team within selected timeframe,League,Age,Minutes played,Position,Primary position,Secondary position,Third position,wPwC,Aerial impact,wSwC,wAwC,wDpwC,wDcwC
6141,451628,M. Aucca,Cusco,PER Liga 1,26.0,1916,"RDMF, RCMF",RDMF,RCMF,0,0.9593259182900914,1.8148213061013485,1.133696499573775,0.8806152413384181,1.963980797345184,2.2425930793590503
6142,290726,A. Ugarriza,Deportivo Garcilaso,PER Liga 1,27.0,1903,CF,CF,0,0,1.068357871803816,1.5033264679027734,2.1608537420993934,1.6516236237356094,0.6302553432632612,0.6648360629048253
6143,514901,M. Succar,Alianza Lima,PER Liga 1,25.0,1890,"CF, RWF",CF,RWF,0,0.7142276547803735,1.8890663966764696,1.484775110881956,0.803229658809408,0.5022606918547553,0.7077685429139493
6144,165902,N. Albarracín,Carlos Mannucci,PER Liga 1,31.0,1863,"AMF, LW, RW",AMF,LW,RW,2.2653078848424046,0.971267287640184,1.0738399544339603,1.4702230355953034,0.8955731948390319,0.915133700616548
6145,290643,A. Casquete,Los Chankas,PER Liga 1,27.0,1853,"AMF, RCMF3",AMF,RCMF3,0,0.5732620536257981,1.3828897566273564,1.0127035140440406,1.3587663356556383,1.0649869337422868,1.355672979686
6146,487119,J. Cortés,Carlos Mannucci,PER Liga 1,30.0,1851,"LW, CF, LAMF",LW,CF,LAMF,1.108482564525931,1.964510801615332,1.6214571242641491,2.0318576605297736,0.9478936086696506,1.0118431786994144
6147,86119,P. Requena,UTC Cajamarca,PER Liga 1,33.0,1843,RB,RB,0,0,1.2611146741736208,1.4230316458357228,0.0077481042772275,0.4481472097376661,1.4216061303178975,1.303209596808799
6148,76302,J. Sánchez,UTC Cajamarca,PER Liga 1,35.0,1840,"AMF, CF, LCMF",AMF,CF,LCMF,2.417449037451451,0.3435712838760164,0.563152469381931,1.6805169592316092,0.8808186110927415,0.7225257808500456
6149,-60998,F. Alcedo,UTC Cajamarca,PER Liga 1,21.0,1828,"RCB3, RCB",RCB3,RCB,0,0.0855425981629369,2.2721648277761184,0.0063935169404212,0.6133655688830503,1.636371511084775,2.1306444815934644
6150,323939,G. Barreto,César Vallejo,PER Liga 1,29.0,1828,"RCMF, RDMF, RCMF3",RCMF,RDMF,RCMF3,0.9130395755002536,1.3138889494491033,0.1196239936630437,1.023744400614362,1.7421601046803807,1.349805378186798
6151,23136,M. de Jesús,Unión Comercio,PER Liga 1,33.0,1816,CF,CF,0,0,0.9230998679643704,1.83241668472568,1.892430850618356,1.6145511582396783,0.8504031641631105,0.6850752221453505
6152,24038,J. Posito,ADT,PER Liga 1,35.0,1815,CF,CF,0,0,0.2337345923806825,1.576144499922397,2.3306268363168683,0.3316945549067962,0.753473637823384,0.9300060676951978
6153,-81286,G. Choi,ADT,PER Liga 1,25.0,1807,"CB, RCB",CB,RCB,0,0.1118261365742264,1.63467236766362,0.008579019645873,0.4027527321870428,1.3273570188279555,1.2121394923543574
6154,290705,L. da Silva,ADT,PER Liga 1,27.0,1805,"CF, RWF",CF,RWF,0,0.8251482509719631,1.861930374660825,1.2404126613640722,1.4369814291696736,0.9043374366985516,1.1650998195389253
6155,-71543,Ignácio,Sporting Cristal,PER Liga 1,27.0,1800,"LCB, RCB",LCB,RCB,0,0.3774731715871069,2.0819383870728325,1.22984564889963,0.9276441908228946,1.3803679259509176,2.0215099376963983
6156,399031,M. Távara,Sporting Cristal,PER Liga 1,25.0,1797,"LDMF, LCMF",LDMF,LCMF,0,1.63520658296998,1.5072652728000049,0.6112561431109914,0.8083044578417894,2.157048852378473,1.7278791559408908
6157,227004,R. Ureña,Universitario,PER Liga 1,31.0,1795,DMF,DMF,0,0,1.7141464410019185,1.427841570716949,0.4255001594352547,0.8256193303959364,2.141939905455713,1.5122589526305248
6158,471369,D. Carabaño,Los Chankas,PER Liga 1,27.0,1781,"LCMF, LDMF, LCMF3",LCMF,LDMF,LCMF3,2.7302311073889385,0.4826018425111494,0.143068897707482,0.9626016507398752,0.9069738124482978,0.8014280757919174
6159,-124827,L. Ramos,Cusco,PER Liga 1,24.0,1773,CF,CF,0,0,0.6276489086109701,1.8643738702411956,2.726451482754606,0.7741555412150131,0.7490496893925023,0.6324876580810739
6160,229273,C. Beltrán,Deportivo Garcilaso,PER Liga 1,34.0,1772,"RCB, RCMF, RDMF",RCB,RCMF,RDMF,0.5160490809133622,2.467732156386976,0.9965466260883612,0.50056860612754,1.5065634799274326,1.9887724571676573
6161,251192,É. Chávez,Sport Boys,PER Liga 1,30.0,1767,RB,RB,0,0,1.3134276675964858,0.6785366074413518,0.0063935169404212,0.5357699718683349,1.467737382969046,1.9136934170129667
6162,342447,M. Carranza,Unión Comercio,PER Liga 1,28.0,1752,"RAMF, LW, LAMF",RAMF,LW,LAMF,2.0088906429990274,0.4799155224536677,0.1763109293802324,2.653534494390533,0.864575032154519,0.5688608539133193
6163,244072,Á. Pérez,Sport Huancayo,PER Liga 1,35.0,1744,RB,RB,0,0,1.579482975262307,1.6004098246185787,0.4029670024623135,1.0602329487495417,1.680050636798686,1.4659824711652103
6164,-101400,S. Gonzáles,Comerciantes Unidos,PER Liga 1,24.0,1715,"CF, AMF",CF,AMF,0,0.417960818876113,2.2765425052304797,1.757249342657824,0.7346651490654981,1.0727137593948326,1.0001018248966436
6165,468958,L. Garro,Sport Huancayo,PER Liga 1,28.0,1711,RB,RB,0,0,0.4167013155958347,1.3945405060683622,0.1162843264377538,1.6439735785974483,1.663874065307623,1.839125512815898
6166,-60964,D. Enriquez,Sporting Cristal,PER Liga 1,22.0,1690,GK,GK,0,0,0.0308311024365023,0.3661126428027106,0.0835035134501422,0.0302408221176839,0.0409598532134581,0.0947544709115573
6167,289792,A. Salazar,Deportivo Garcilaso,PER Liga 1,30.0,1685,"RB, RCB, RCB3",RB,RCB,RCB3,0.1724113491874267,1.674510534936858,0.1289934214265545,0.2915314714629443,1.766578955869721,1.939089084614953
6168,-389124,R. Salazar,Sport Boys,PER Liga 1,21.0,1674,"RB, RB5, RWB",RB,RB5,RWB,1.5600654307295532,0.8458762485916757,0.5232316748290345,0.705628625047115,1.223151978263369,1.3043515008419533
